alt_identifier,B cell,CD4 T cell,CD8 T cell,Epithelial/Tumor,Macrophages,NK-cells,P53+ Tumor,Proliferative Immune,Proliferative Tumor,Stromal,tumour_purity
CR001,0.020332342610105376,0.06153742231829235,0.023912456092947853,0.25864631180761954,0.04519048905701162,0.024790597135909215,0.1534044852742502,0.0029046203728721968,0.07261550932180491,0.3366657660091867,0.4846663064036747
CR008,0.022396471453075228,0.05175202156334232,0.0215633423180593,0.3118353344768439,0.04547904925263416,0.02563097280078412,0.009066405292820387,0.00450869884832149,0.1267336437147758,0.3810340602793433,0.4476353834844401
CR014,0.019817927170868346,0.03438375350140056,0.059313725490196076,0.3046918767507003,0.0634453781512605,0.06351540616246498,0.018627450980392157,0.00665266106442577,0.07303921568627451,0.3565126050420168,0.396358543417367
CR020,0.013986013986013986,0.09507513762832911,0.13822347864901055,0.34221098050885285,0.04538015176313049,0.04805832465406933,0.009224817735456033,0.010415116798095522,0.15131676833804494,0.14610920993899718,0.5027525665823538
CR023,0.020704553007643737,0.048155533399800596,0.0353938185443669,0.21518777002326353,0.04735792622133599,0.01764705882352941,0.013094051179793951,0.0015287470920571618,0.036058491193087405,0.5648720505151213,0.26434031239614486
CR027,0.007190818610410019,0.06247916567455593,0.06705081194342588,0.17057955140720987,0.04581170531930092,0.1681508643268727,0.15672174865469785,0.005857421781989619,0.11014810229058526,0.20600980999095195,0.43744940235249297
CR034,0.010614525139664804,0.034217877094972066,0.049650837988826815,0.22039106145251397,0.04001396648044693,0.0946927374301676,0.1526536312849162,0.011312849162011173,0.2066340782122905,0.17981843575418993,0.5796787709497206
CR038,0.011088402835152411,0.0345697264860634,0.017741444536243857,0.2889072487715789,0.04252728616776101,0.025785972083315217,0.01561073183458712,0.01756750880549637,0.28725485932947775,0.25894681915032397,0.5917728399356438
CR041,0.018041804180418043,0.03399339933993399,0.04977997799779978,0.508965896589659,0.015236523652365237,0.05335533553355336,0.013036303630363037,0.009735973597359737,0.15044004400440045,0.1474147414741474,0.6724422442244224
CR043,0.016636957813428402,0.02059813824519707,0.12299465240641712,0.38839374133491783,0.030501089324618737,0.08873044167161814,0.01881560705090117,0.003763121410180234,0.12616359675183206,0.18340265399088929,0.5333729451376511
CR048,0.012662896483894763,0.01868699286943693,0.04290631915416769,0.38013277600196704,0.11015490533562823,0.17678878780427834,0.010081140890090975,0.005532333415293828,0.11421194984017703,0.12884189820506517,0.5044258667322351
CR051,0.0157417993140445,0.019523348869932285,0.10588338756485798,0.3004133321607598,0.03975024184328555,0.07554304810482808,0.014686483158913024,0.007387213085920324,0.16067188461876705,0.2603992612786914,0.47577169993843993
CR052,0.027592412086676163,0.07246757141786009,0.14778435930119216,0.21792756991827247,0.07048061783009672,0.03756466971582815,0.08671365374522007,0.011246907100547349,0.07033065906875609,0.2578915798155507,0.37497188273224863
CR053,0.02270320360074133,0.04196452210749272,0.02627746889065396,0.3831744770982261,0.048318771511781836,0.09207042626423087,0.014230871061689172,0.015620863118877415,0.17494042891183478,0.1806989674344718,0.57234577707175
CR054,0.013353413654618474,0.0393574297188755,0.0427710843373494,0.2118975903614458,0.07113453815261044,0.05396586345381526,0.01536144578313253,0.011546184738955823,0.13514056224899598,0.4054718875502008,0.3623995983935743
CR055,0.01954559601618425,0.06971677559912855,0.08216619981325864,0.15972611266728914,0.13843759726112667,0.2895113600995954,0.014441332088390912,0.001929660753190165,0.01954559601618425,0.20497976968565204,0.1937130407718643
CR056,0.015024671508565726,0.01430393080889283,0.030437434163109164,0.298552974441426,0.06458945500914787,0.023285468758662747,0.008205355657814493,0.011919942340744026,0.23529411764705882,0.29838664966457834,0.5420524477462993
CR057,0.021223559575528808,0.04052417918951642,0.058115518837689624,0.16565771668684567,0.13061747738765045,0.11537639769247204,0.11323979773520404,0.004914179901716402,0.04116515917669682,0.30916601381667974,0.3200626735987465
CR058,0.01727726894254788,0.048813488759367196,0.14310990840965862,0.4468151540383014,0.07264779350541216,0.08087010824313072,0.005516236469608659,0.01144879267277269,0.02893422148209825,0.14456702747710243,0.4812656119900083
CR059,0.021550295073271004,0.04873682116570519,0.14329288508719581,0.20668390690272528,0.058683111199522575,0.18241495922021086,0.00974736423314104,0.01657715005636231,0.08514024268947683,0.2271732643723891,0.30157151382534314
CR060,0.047752562866906156,0.07692981687549286,0.1255147638657671,0.1121528082011741,0.1164461578901253,0.196442653114869,0.0038552527819153597,0.02243056164023482,0.041443967405590115,0.25703145535792515,0.15745202838867955
CR067,0.011147407104940792,0.02727643936300531,0.01723152307064108,0.323070641077991,0.057002858309514085,0.16467946100449163,0.0189873417721519,0.00485912617394855,0.058717844017966515,0.3170273581053491,0.4007758268681094
CR077,0.007048550838987954,0.020777444637315238,0.10662248172110883,0.1525958655515228,0.04665719846404713,0.010415022881489664,0.19725422124033454,0.01136184314344327,0.16248487717637158,0.284782494345379,0.512334963968229
CR079,0.011912325285895807,0.011118170266836086,0.005823803473104617,0.6353769589157137,0.011806437950021178,0.018530283778060146,0.007676831850910631,0.0022236340533672173,0.1549131723845828,0.14061838204150784,0.7979669631512071
CR080,0.0384180790960452,0.05875706214689266,0.08063687724704674,0.2421160760143811,0.11248073959938366,0.06317411402157165,0.019722650231124808,0.01859270672829995,0.03430919363122753,0.3317925012840267,0.29614791987673345
CR081,0.013341628646481404,0.044103414903912626,0.0297248721139223,0.3401078390709249,0.024125535738974146,0.029517489285220518,0.16957002626849163,0.007258399004562422,0.1687404949536845,0.17351030001382553,0.678418360293101
CR082,0.011974405850091407,0.07373552711761121,0.11358927483241926,0.23781230956733698,0.0931139549055454,0.04430225472273004,0.01392443631931749,0.020658135283363802,0.21803778184034125,0.17285191956124316,0.4697745277269957
CR084,0.011533561322336216,0.02038489908133843,0.010795949842419366,0.18896265003688056,0.014886340776503722,0.019915509957754977,0.03198551599275799,0.007778448333668611,0.08569704284852142,0.6080600818078187,0.30664520887816
CR094,0.011548620922661098,0.022482953498372135,0.012961484120646231,0.34781006204312304,0.025185822224952394,0.013084341790036242,0.27986977087044657,0.0021500092143252043,0.08053320228515265,0.20437373303028442,0.7082130351987221
CR096,0.017989230131960472,0.014912124977809338,0.021717261376412805,0.15681401266347123,0.08071483519734896,0.11775844724539913,0.010829043138647257,0.00402390674004379,0.00692348659684005,0.568317651932067,0.17456654239895852
CR097,0.04137889252393069,0.1278323034048225,0.04689203925845147,0.13861626075366534,0.03435114503816794,0.09323882224645584,0.15757906215921483,0.05070883315158124,0.1915667030170847,0.11783593844662547,0.48776202592996487
CR100,0.014479105356091818,0.012713360800470865,0.014243672748675692,0.3344320188346086,0.050618010594467334,0.043201883460859326,0.013655091230135374,0.005885815185403178,0.11606827545615067,0.39470276633313717,0.46415538552089464
CR101,0.058605489881787216,0.12357243037467441,0.22891204167501503,0.12407333199759567,0.08906030855539972,0.03516329392907233,0.004107393307954317,0.014726507713884993,0.1045381687036666,0.2172410338609497,0.23271889400921658
CR102,0.051787158337376675,0.07627365356622999,0.06773410965550704,0.18951965065502183,0.07436519488921235,0.02542455118874333,0.08345463367297429,0.011774219634481643,0.10710011321365033,0.3125667151868025,0.3800743975416464
CR109,0.026815431164901662,0.024470499243570348,0.0367624810892587,0.4548411497730711,0.03615733736762481,0.022617246596066565,0.00911497730711044,0.0014750378214826022,0.06278366111951589,0.3249621785173979,0.5267397881996974
CR110,0.008520022051821782,0.03387961710018544,0.12043301759133965,0.3709216659149,0.040044103643562375,0.026863128351626322,0.015837217461033427,0.009321906480228537,0.20758783140379894,0.16659149000150353,0.5943467147797323
CR112,0.015175782814126692,0.0291102746856731,0.031272523424361334,0.514535116521182,0.017818531272523426,0.01629694882677985,0.09421798670617443,7.607912228717867e-4,0.053135260671097945,0.22767678385520942,0.6618883638984544
CR113,0.020449050086355787,0.04262521588946459,0.01713298791018998,0.3032124352331606,0.05588946459412781,0.05319516407599309,0.014853195164075994,0.002210708117443869,0.07910189982728842,0.41132987910189983,0.39716753022452506
CR115,0.021314126120829047,0.05468175804792003,0.051741878582978094,0.20711450830515948,0.07114508305159488,0.05835660737909746,0.005144789063648391,0.007790680582096134,0.09187123327943554,0.4308393355872409,0.3041305306482434
CR118,0.13658152209600105,0.2224702869525248,0.13776347757567797,0.1571344146037166,0.07886269617177753,0.03631229890340797,0.005778449011753891,0.01063759931709239,0.025215050233107886,0.18924420513493992,0.18812791384857838
CR123,0.02334235453315291,0.018718989625620207,0.017365809652683806,0.39896256202074876,0.06630581867388363,0.06799729364005412,0.08468651330626974,0.0019170049616599007,0.07713125845737483,0.2435723951285521,0.5607803337843933
CR124,0.011817310763334398,0.11470547976456631,0.027558516220285625,0.3797965049961217,0.045489802436464846,0.01606059223433864,0.13099420541132453,0.0020988273942601633,0.039877720490943104,0.23160104028836062,0.5506684308983893
CR137,0.011523771895166601,0.0300276570525484,0.011062821019359936,0.394178848939813,0.03588831818780456,0.02423284604240748,0.0056631107599104434,0.014552877650467536,0.08040300276570525,0.39246674568681683,0.4802449624654287
CR139,0.02632120090479128,0.08307629035574748,0.13791212557406266,0.39522928233600657,0.07683871409966413,0.03488930015765303,0.012886421276304065,0.013914593186647475,0.052573857015559666,0.16635821509356363,0.4606895606278703
CR141,0.01299074553083865,0.04150140828878542,0.08846352819451629,0.41783066045869977,0.066620681726734493,0.08185319307926654,0.011093866758636547,0.010001724435247456,0.11134103581077197,0.15830315571650286,0.5402655630281082
CR144,0.019661816751867872,0.05924760781229519,0.2275527592082842,0.28889762747411196,0.05479092934853847,0.09726045353257308,0.019006422860138945,0.00812688425743872,0.05321798400838904,0.17223751474636256,0.36112203434263995
CR153,0.02559074419060692,0.05108343955289734,0.06682027649769585,0.2521815864300422,0.0636827139915678,0.012305127953720954,0.00549073438572409,0.006275125012256104,0.150701049122463,0.36586920286302577,0.40837336993822926
CR164,0.01990049751243781,0.025941719971570718,0.1396588486140725,0.189410092395167,0.09559346126510306,0.0749822316986496,0.1865671641791045,0.007818052594171997,0.18265813788201848,0.07746979388770434,0.55863539445629
CR166,0.0068654704742650155,0.04148765900092663,0.05403925532811052,0.16144385477213377,0.04211945076236206,0.14956616965714767,0.15761098475275884,0.011919804565748463,0.15575772891921488,0.21918962176733214,0.47481256844410746
CR179,0.02086521073862846,0.07887049659201557,0.05151388695692493,0.23679695831594566,0.06514582463949553,0.01043260536931423,0.1657161403996847,0.004404877822599342,0.06547039458431864,0.30078360458107295,0.467983493299949
CR185,0.049561898618502395,0.0724076761812611,0.13110788582486696,0.2750094070848788,0.10095145944202548,0.0686985970004838,0.009245820566575283,0.0020426812879643067,0.01988926517228404,0.2710853088211579,0.3041444928237382
