alt_identifier,File Name,k8_cn,B cell,CD8 T cell,Epithelial/Tumor,Macrophages,NK-cells,P53+ Tumor,Proliferative Immune,Proliferative Tumor,Stromal,CD4 T cell
CR001,101,Bulk Tumor,0.0014792899408284023,0.005917159763313609,0.7403846153846154,0.0014792899408284023,0.016272189349112426,0.16715976331360946,7.396449704142012e-4,0.059911242603550297,0.006656804733727811,0
CR001,101,CD8+ T cell enriched,0.034482758620689655,0.3735632183908046,0.040229885057471264,0.11494252873563218,0.04597701149425287,0.011494252873563218,0,0,0.22413793103448276,0.15517241379310345
CR001,101,Immune-enriched stromal,0.038974358974358976,0.05282051282051282,0.07179487179487179,0.09076923076923077,0.03128205128205128,0.025128205128205128,0.009230769230769232,0.007692307692307693,0.5205128205128206,0.1517948717948718
CR001,101,Mixed Immune,0.044967880085653104,0.06638115631691649,0.029978586723768737,0.3147751605995717,0.042826552462526764,0.008565310492505354,0.008565310492505354,0.01284796573875803,0.24411134903640258,0.22698072805139186
CR001,101,NK-cell enriched,0.015625,0.03125,0.09375,0.046875,0.515625,0.015625,0,0.0625,0.203125,0.015625
CR001,101,P53+ Tumor,0.0010899182561307902,0.0027247956403269754,0.3073569482288828,0.0016348773841961854,0.011444141689373298,0.5416893732970027,0,0.11607629427792915,0.014168937329700272,0.0038147138964577656
CR001,101,Proliferative Tumor,0.0050568900126422255,0.0037926675094816687,0.18584070796460178,0,0.03286978508217446,0.1390644753476612,0.0012642225031605564,0.6257901390644753,0.006321112515802781,0
CR001,101,Stromal,0.016780283167278448,0.015207131620346093,0.006292606187729418,0.03146303093864709,0.008390141583639224,0.002097535395909806,0.001048767697954903,0,0.8814892501310959,0.037231253277399054
CR001,102,Bulk Tumor,5.333333333333334e-4,0.005866666666666667,0.736,0.004266666666666667,0.026133333333333335,0.17813333333333334,0,0.03626666666666667,0.0112,0.0016
CR001,102,CD8+ T cell enriched,0.11764705882352941,0.23529411764705882,0,0.08823529411764706,0.029411764705882353,0,0.029411764705882353,0,0.20588235294117646,0.29411764705882354
CR001,102,Immune-enriched stromal,0.052698412698412696,0.03365079365079365,0.08063492063492063,0.08507936507936507,0.03365079365079365,0.029841269841269842,0.006984126984126984,0.006349206349206349,0.5174603174603175,0.15365079365079365
CR001,102,Mixed Immune,0.08881578947368421,0.04276315789473684,0.06907894736842106,0.28618421052631576,0.03618421052631579,0.019736842105263157,0.01644736842105263,0.006578947368421052,0.2532894736842105,0.18092105263157895
CR001,102,NK-cell enriched,0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.4166666666666667,0,0,0,0.25,0
CR001,102,P53+ Tumor,0.0021321961620469083,0.0010660980810234541,0.3742004264392324,0.0010660980810234541,0.022388059701492536,0.4978678038379531,0,0.08848614072494669,0.010660980810234541,0.0021321961620469083
CR001,102,Proliferative Tumor,0,0,0.2275449101796407,0,0.03592814371257485,0.1377245508982036,0,0.5868263473053892,0.011976047904191617,0
CR001,102,Stromal,0.029433406916850625,0.01545253863134658,0.014716703458425313,0.016188373804267846,0.010301692420897719,0.0029433406916850625,0,0,0.8440029433406917,0.06696100073583518
CR008,28,Bulk Tumor,0.008459743290548424,0.01662777129521587,0.8127187864644108,0.006709451575262544,0.051341890315052506,0.012252042007001166,5.834305717619603e-4,0.05425904317386231,0.0338389731621937,0.0032088681446907816
CR008,28,CD8+ T cell enriched,0,0.48148148148148145,0.14814814814814814,0.037037037037037035,0.037037037037037035,0.037037037037037035,0,0.037037037037037035,0.07407407407407407,0.14814814814814814
CR008,28,Immune-enriched stromal,0.040667361835245046,0.035453597497393116,0.08237747653806048,0.0667361835245047,0.010427528675703858,0.0072992700729927005,0.0031282586027111575,0.010427528675703858,0.6193952033368092,0.12408759124087591
CR008,28,Mixed Immune,0.046511627906976744,0,0.023255813953488372,0.3488372093023256,0,0.06976744186046512,0.046511627906976744,0,0.18604651162790697,0.27906976744186046
CR008,28,NK-cell enriched,0,0,0.3125,0,0.375,0,0,0.125,0.1875,0
CR008,28,P53+ Tumor,0,0,0,0,0,0,0,1,0,0
CR008,28,Proliferative Tumor,0.0196078431372549,0.004901960784313725,0.3235294117647059,0.004901960784313725,0.06372549019607843,0.004901960784313725,0,0.553921568627451,0.0196078431372549,0.004901960784313725
CR008,28,Stromal,0.010276399716513111,0.013819985825655563,0.007087172218284904,0.01559177888022679,7.087172218284905e-4,0.00815024805102764,0.0010630758327427356,3.5435861091424523e-4,0.8958185683912119,0.04712969525159461
CR008,29,Bulk Tumor,0.0019267822736030828,0.007707129094412331,0.8689788053949904,0.019267822736030827,0.005780346820809248,0.017341040462427744,0,0.0038535645472061657,0.07321772639691715,0.0019267822736030828
CR008,29,CD8+ T cell enriched,0.096045197740113,0.4067796610169492,0.011299435028248588,0.05084745762711865,0.005649717514124294,0.011299435028248588,0,0,0.13559322033898305,0.2824858757062147
CR008,29,Immune-enriched stromal,0.05669083717864205,0.03955174686882004,0.0922874093605801,0.08371786420566908,0.03493737640079104,0.007910349373764008,0.003955174686882004,0.001977587343441002,0.5313117996044825,0.14765985497692816
CR008,29,Mixed Immune,0.04241435562805873,0.05057096247960848,0.03262642740619902,0.40456769983686786,0.03262642740619902,0.0016313213703099511,0.004893964110929853,0,0.2039151712887439,0.2267536704730832
CR008,29,NK-cell enriched,0,0,0.034482758620689655,0,0.4482758620689655,0,0,0,0.3103448275862069,0.20689655172413793
CR008,29,Proliferative Tumor,0,0,0.375,0,0,0.125,0,0.375,0.125,0
CR008,29,Stromal,0.020803782505910164,0.003309692671394799,0.016548463356973995,0.023167848699763592,0.0070921985815602835,0.00851063829787234,9.456264775413711e-4,4.7281323877068556e-4,0.8718676122931442,0.04728132387706856
CR008,30,Bulk Tumor,0.008307826847398338,0.004372540445999125,0.7284652383034543,0.009619588981198076,0.004809794490599038,0.00874508089199825,8.745080891998251e-4,0.16134674245736774,0.06821163095758635,0.005247048535198951
CR008,30,CD8+ T cell enriched,0.15625,0.3645833333333333,0.041666666666666664,0.020833333333333332,0.041666666666666664,0,0.07291666666666667,0,0.14583333333333334,0.15625
CR008,30,Immune-enriched stromal,0.056615017878426696,0.023241954707985697,0.11740166865315853,0.08104886769964244,0.04529201430274136,0.0059594755661501785,0.017878426698450536,0.06436233611442194,0.5160905840286055,0.07210965435041716
CR008,30,Mixed Immune,0.06842105263157895,0.02368421052631579,0.05263157894736842,0.3631578947368421,0.02631578947368421,0.010526315789473684,0.02894736842105263,0.010526315789473684,0.2026315789473684,0.2131578947368421
CR008,30,NK-cell enriched,0.007874015748031496,0.015748031496062992,0.10236220472440945,0.007874015748031496,0.5905511811023622,0.015748031496062992,0.007874015748031496,0.015748031496062992,0.18110236220472442,0.05511811023622047
CR008,30,P53+ Tumor,0,0,0.3333333333333333,0,0,0.3333333333333333,0,0.3333333333333333,0,0
CR008,30,Proliferative Tumor,0.006414584740040513,0.0070898041863605675,0.28561782579338285,0.0070898041863605675,0.008102633355840648,0.008440243079000676,0.0054017555705604325,0.600270087778528,0.0688723835246455,0.0027008777852802163
CR008,30,Stromal,0.012690355329949238,0.015228426395939087,0.007614213197969543,0.04314720812182741,0.025380710659898477,0.007614213197969543,0.01015228426395939,0.0025380710659898475,0.8451776649746193,0.030456852791878174
CR014,103,Bulk Tumor,0,0,0.5,0,0,0,0,0,0,0.5
CR014,103,CD8+ T cell enriched,0.029411764705882353,0.7058823529411765,0,0.058823529411764705,0,0,0.029411764705882353,0,0.17647058823529413,0
CR014,103,Immune-enriched stromal,0.06666666666666667,0.09333333333333334,0.04,0.13333333333333333,0.05333333333333334,0,0,0,0.5466666666666666,0.06666666666666667
CR014,103,Mixed Immune,0.06206896551724138,0.06896551724137931,0.027586206896551724,0.503448275862069,0.020689655172413793,0.013793103448275862,0.006896551724137931,0,0.2206896551724138,0.07586206896551724
CR014,103,NK-cell enriched,0,0.07142857142857142,0,0.07142857142857142,0.5714285714285714,0,0,0,0.21428571428571427,0.07142857142857142
CR014,103,Stromal,0.02830188679245283,0.009433962264150943,0,0.0660377358490566,0.018867924528301886,0,0,0,0.839622641509434,0.03773584905660377
CR014,104,CD8+ T cell enriched,0,0.75,0,0,0.25,0,0,0,0,0
CR014,104,Immune-enriched stromal,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.11764705882352941,0,0,0.058823529411764705,0.4117647058823529,0.058823529411764705
CR014,104,Mixed Immune,0.2727272727272727,0,0,0.45454545454545453,0.18181818181818182,0,0,0,0.09090909090909091,0
CR014,104,NK-cell enriched,0.045454545454545456,0,0,0,0.5909090909090909,0,0,0,0.36363636363636365,0
CR014,104,Stromal,0,0,0,0,0.047619047619047616,0,0,0,0.9523809523809523,0
CR014,105,Bulk Tumor,0.014249790444258172,0.008382229673093043,0.7342833193629505,0.02347024308466052,0.04442581726739313,0.013411567476948869,0,0.05113160100586756,0.09639564124056998,0.014249790444258172
CR014,105,CD8+ T cell enriched,0.058823529411764705,0.5294117647058824,0.058823529411764705,0,0.058823529411764705,0,0,0.058823529411764705,0.11764705882352941,0.11764705882352941
CR014,105,Immune-enriched stromal,0.04194857916102842,0.03247631935047361,0.17861975642760486,0.08525033829499323,0.029769959404600813,0.0040595399188092015,0.012178619756427604,0.013531799729364006,0.5466847090663058,0.05548037889039242
CR014,105,Mixed Immune,0.07526881720430108,0.021505376344086023,0.10752688172043011,0.45161290322580644,0.021505376344086023,0,0,0,0.23655913978494625,0.08602150537634409
CR014,105,NK-cell enriched,0.011235955056179775,0.0056179775280898875,0.2303370786516854,0.016853932584269662,0.5,0.028089887640449437,0,0.10674157303370786,0.07865168539325842,0.02247191011235955
CR014,105,Proliferative Tumor,0.017543859649122806,0.017543859649122806,0.3508771929824561,0,0.19298245614035087,0,0,0.40350877192982454,0.017543859649122806,0
CR014,105,Stromal,0.029616724738675958,0.020905923344947737,0.010452961672473868,0.03484320557491289,0.02613240418118467,0.003484320557491289,0.008710801393728223,0,0.8292682926829268,0.036585365853658534
CR014,106,Bulk Tumor,0.00411522633744856,0.012345679012345678,0.7489711934156379,0.00411522633744856,0.05761316872427984,0.03292181069958848,0,0.09465020576131687,0.04526748971193416,0
CR014,106,CD8+ T cell enriched,0,0.5789473684210527,0.017543859649122806,0.10526315789473684,0.017543859649122806,0,0.017543859649122806,0,0.22807017543859648,0.03508771929824561
CR014,106,Immune-enriched stromal,0.04054054054054054,0.057432432432432436,0.11148648648648649,0.07094594594594594,0.060810810810810814,0.0033783783783783786,0.013513513513513514,0.016891891891891893,0.5878378378378378,0.037162162162162164
CR014,106,Mixed Immune,0.08823529411764706,0.058823529411764705,0.029411764705882353,0.35294117647058826,0.11764705882352941,0,0.029411764705882353,0.058823529411764705,0.23529411764705882,0.029411764705882353
CR014,106,NK-cell enriched,0.08695652173913043,0,0.34782608695652173,0,0.4782608695652174,0,0,0.043478260869565216,0.043478260869565216,0
CR014,106,P53+ Tumor,0,0,0.42857142857142855,0,0,0.2857142857142857,0,0.2857142857142857,0,0
CR014,106,Proliferative Tumor,0.0196078431372549,0.014705882352941176,0.25980392156862747,0.014705882352941176,0.058823529411764705,0.04411764705882353,0.004901960784313725,0.5637254901960784,0.014705882352941176,0.004901960784313725
CR014,106,Stromal,0.01877133105802048,0.02901023890784983,0.0017064846416382253,0.032423208191126277,0.011945392491467578,0.0034129692832764505,0.006825938566552901,0,0.8771331058020477,0.01877133105802048
CR014,107,Bulk Tumor,0.01644736842105263,0.02631578947368421,0.7105263157894737,0.014802631578947368,0.039473684210526314,0.02631578947368421,0.009868421052631578,0.09046052631578948,0.05756578947368421,0.008223684210526315
CR014,107,CD8+ T cell enriched,0.024793388429752067,0.5082644628099173,0.06198347107438017,0.04132231404958678,0.08677685950413223,0,0.008264462809917356,0.024793388429752067,0.1446280991735537,0.09917355371900827
CR014,107,Immune-enriched stromal,0.010192525481313703,0.08040770101925254,0.11098527746319366,0.06002265005662514,0.08154020385050963,0.013590033975084938,0.011325028312570781,0.04190260475651189,0.5209513023782559,0.06908267270668177
CR014,107,Mixed Immune,0.018018018018018018,0.08108108108108109,0.08108108108108109,0.3153153153153153,0.09009009009009009,0.018018018018018018,0.02702702702702703,0.02702702702702703,0.21621621621621623,0.12612612612612611
CR014,107,NK-cell enriched,0.010380622837370242,0.04498269896193772,0.18685121107266436,0.02768166089965398,0.4844290657439446,0.02768166089965398,0.006920415224913495,0.058823529411764705,0.11764705882352941,0.03460207612456748
CR014,107,P53+ Tumor,0.038461538461538464,0,0.19230769230769232,0.038461538461538464,0.11538461538461539,0.38461538461538464,0,0.15384615384615385,0.038461538461538464,0.038461538461538464
CR014,107,Proliferative Tumor,0.00390625,0.01953125,0.23828125,0.015625,0.08984375,0.0390625,0.015625,0.4765625,0.09375,0.0078125
CR014,107,Stromal,0.006430868167202572,0.04983922829581994,0.003215434083601286,0.027331189710610933,0.04019292604501608,0.003215434083601286,0.003215434083601286,0,0.837620578778135,0.028938906752411574
CR014,108,Bulk Tumor,0.009281678773204197,0.022195318805488296,0.7376916868442293,0.024616626311541566,0.031073446327683617,0.03631961259079903,0.0020177562550443904,0.07384987893462469,0.05649717514124294,0.00645682001614205
CR014,108,CD8+ T cell enriched,0.0033112582781456954,0.5331125827814569,0.06622516556291391,0.08940397350993377,0.04304635761589404,0.006622516556291391,0,0.019867549668874173,0.15562913907284767,0.08278145695364239
CR014,108,Immune-enriched stromal,0.029805352798053526,0.06751824817518248,0.1380778588807786,0.09124087591240876,0.032846715328467155,0.016423357664233577,0.015206812652068127,0.024330900243309004,0.5255474452554745,0.05900243309002433
CR014,108,Mixed Immune,0.0390625,0.06770833333333333,0.059895833333333336,0.4244791666666667,0.0546875,0.015625,0.0078125,0.020833333333333332,0.21354166666666666,0.09635416666666667
CR014,108,NK-cell enriched,0.012903225806451613,0.025806451612903226,0.21935483870967742,0.04516129032258064,0.535483870967742,0.012903225806451613,0.0064516129032258064,0.08387096774193549,0.04516129032258064,0.012903225806451613
CR014,108,P53+ Tumor,0,0,0.45454545454545453,0,0.045454545454545456,0.3181818181818182,0,0.18181818181818182,0,0
CR014,108,Proliferative Tumor,0.003838771593090211,0.030710172744721688,0.2840690978886756,0.007677543186180422,0.046065259117082535,0.036468330134357005,0.003838771593090211,0.5412667946257198,0.04222648752399232,0.003838771593090211
CR014,108,Stromal,0.023350253807106598,0.025380710659898477,0.008121827411167513,0.03857868020304569,0.02030456852791878,0.003045685279187817,0.003045685279187817,0,0.8426395939086294,0.03553299492385787
CR020,109,Bulk Tumor,0.0040766408479412965,0.05421932327761924,0.695067264573991,0.005707297187117815,0.0411740725642071,0.011822258459029759,0.0028536485935589076,0.14920505503465145,0.026498165511618425,0.009376273950264982
CR020,109,CD8+ T cell enriched,0.022099447513812154,0.4167324388318863,0.06077348066298342,0.05919494869771113,0.04498816101026046,0.0055248618784530384,0.01578531965272297,0.027624309392265192,0.13180741910023677,0.2154696132596685
CR020,109,Immune-enriched stromal,0.03235294117647059,0.13529411764705881,0.050980392156862744,0.059803921568627454,0.03627450980392157,0.00196078431372549,0.014705882352941176,0.014705882352941176,0.492156862745098,0.16176470588235295
CR020,109,Mixed Immune,0.03187250996015936,0.10756972111553785,0.021912350597609563,0.28286852589641437,0.04183266932270916,0.00796812749003984,0.0398406374501992,0.00398406374501992,0.1892430278884462,0.2729083665338645
CR020,109,NK-cell enriched,0.024390243902439025,0.07317073170731707,0.15853658536585366,0.08536585365853659,0.43902439024390244,0.012195121951219513,0,0.024390243902439025,0.0975609756097561,0.08536585365853659
CR020,109,P53+ Tumor,0,0,0.4444444444444444,0,0.1111111111111111,0.1111111111111111,0,0.2222222222222222,0.1111111111111111,0
CR020,109,Proliferative Tumor,0.0016155088852988692,0.05331179321486268,0.35379644588045234,0.0016155088852988692,0.05411954765751212,0.014539579967689823,0.004038772213247173,0.4806138933764136,0.01938610662358643,0.016962843295638127
CR020,109,Stromal,0.02,0.02666666666666667,0,0.02666666666666667,0.02,0,0.02,0,0.8,0.08666666666666667
CR023,23,Bulk Tumor,0,0,0.8181818181818182,0,0.030303030303030304,0,0,0.09090909090909091,0.030303030303030304,0.030303030303030304
CR023,23,CD8+ T cell enriched,0.1320754716981132,0.4339622641509434,0.03773584905660377,0.07547169811320754,0.03773584905660377,0,0.018867924528301886,0,0.1320754716981132,0.1320754716981132
CR023,23,Immune-enriched stromal,0.07426900584795322,0.0608187134502924,0.06374269005847953,0.12280701754385964,0.03274853801169591,0.01929824561403509,0.0023391812865497076,0.004678362573099415,0.5274853801169591,0.09181286549707603
CR023,23,Mixed Immune,0.062162162162162166,0.02702702702702703,0.04594594594594595,0.41621621621621624,0.05675675675675676,0.008108108108108109,0,0,0.25405405405405407,0.12972972972972974
CR023,23,NK-cell enriched,0.05,0.1,0.1,0.1,0.4,0,0,0,0.2,0.05
CR023,23,Stromal,0.035967445523759516,0.014964557626673668,0.018114990811236544,0.04253084799159885,0.010501443948542924,0.010238907849829351,0,0,0.836965082698871,0.030716723549488054
CR023,24,Bulk Tumor,0,0.009836065573770493,0.7540983606557377,0.009836065573770493,0.03934426229508197,0.036065573770491806,0,0.04590163934426229,0.08852459016393442,0.01639344262295082
CR023,24,CD8+ T cell enriched,0.0297029702970297,0.5099009900990099,0.04455445544554455,0.09900990099009901,0.04455445544554455,0.009900990099009901,0.0049504950495049506,0,0.16831683168316833,0.0891089108910891
CR023,24,Immune-enriched stromal,0.021753908905506457,0.05846363018354861,0.1434398368456832,0.10740992522093813,0.05098572399728076,0.024473147518694765,0.0013596193065941536,0.004758667573079538,0.5166553365057783,0.07070020394289599
CR023,24,Mixed Immune,0.0111731843575419,0.0782122905027933,0.08659217877094973,0.33519553072625696,0.05307262569832402,0.0111731843575419,0.002793296089385475,0,0.24581005586592178,0.17597765363128492
CR023,24,NK-cell enriched,0.02702702702702703,0,0.16216216216216217,0.13513513513513514,0.32432432432432434,0.05405405405405406,0,0,0.24324324324324326,0.05405405405405406
CR023,24,P53+ Tumor,0,0,1,0,0,0,0,0,0,0
CR023,24,Proliferative Tumor,0,0,0.29411764705882354,0,0.058823529411764705,0.11764705882352941,0,0.47058823529411764,0.058823529411764705,0
CR023,24,Stromal,0.010180623973727421,0.015106732348111659,0.0187192118226601,0.030541871921182268,0.00722495894909688,0.011822660098522168,3.284072249589491e-4,0,0.8807881773399014,0.02528735632183908
CR023,25,Bulk Tumor,0,0.003511852502194908,0.8402107111501317,0,0.007901668129938543,0.018437225636523266,0.001755926251097454,0.09657594381035997,0.029850746268656716,0.001755926251097454
CR023,25,CD8+ T cell enriched,0.0625,0.625,0.0625,0,0,0,0,0,0.0625,0.1875
CR023,25,Immune-enriched stromal,0.02753195673549656,0.0471976401179941,0.16617502458210423,0.04424778761061947,0.015732546705998034,0.029498525073746312,0.0029498525073746312,0.02654867256637168,0.5752212389380531,0.06489675516224189
CR023,25,Mixed Immune,0.05555555555555555,0,0,0.5,0,0,0.05555555555555555,0,0.2777777777777778,0.1111111111111111
CR023,25,P53+ Tumor,0,0,0,0,0,1,0,0,0,0
CR023,25,Proliferative Tumor,0,0,0.3974358974358974,0,0.05128205128205128,0,0,0.5384615384615384,0.01282051282051282,0
CR023,25,Stromal,0.015869311551925322,0.011435239206534423,0.012135355892648775,0.01680280046674446,0.0039673278879813305,0.010268378063010501,7.001166861143524e-4,2.3337222870478414e-4,0.8991831971995332,0.0294049008168028
