alt_identifier,k8_cn,B cell,CD4 T cell,CD8 T cell,Epithelial/Tumor,Macrophages,NK-cells,P53+ Tumor,Proliferative Immune,Proliferative Tumor,Stromal
CR001,Bulk Tumor,9.296560272699101e-4,9.296560272699101e-4,0.005887821506042764,0.7378370003098853,0.0030988534242330336,0.02200185931205454,0.1735357917570499,3.098853424233034e-4,0.0461729160210722,0.009296560272699102
CR001,CD8+ T cell enriched,0.04807692307692308,0.1778846153846154,0.35096153846153844,0.03365384615384615,0.11057692307692307,0.04326923076923077,0.009615384615384616,0.004807692307692308,0,0.22115384615384615
CR001,Immune-enriched stromal,0.0451063829787234,0.1526241134751773,0.04425531914893617,0.07574468085106383,0.08822695035460992,0.03234042553191489,0.02723404255319149,0.008226950354609928,0.0070921985815602835,0.5191489361702127
CR001,Mixed Immune,0.0622568093385214,0.20881971465629054,0.057068741893644616,0.04539559014267185,0.3035019455252918,0.040207522697795074,0.01297016861219196,0.011673151750972763,0.010376134889753566,0.24773022049286642
CR001,NK-cell enriched,0.013157894736842105,0.013157894736842105,0.039473684210526314,0.09210526315789473,0.06578947368421052,0.5,0.013157894736842105,0,0.05263157894736842,0.21052631578947367
CR001,P53+ Tumor,0.00144248106743599,0.0032455824017309774,0.002163721601153985,0.3299675441759827,0.00144248106743599,0.015146051208077894,0.5268662098809953,0,0.10674359899026326,0.01298232960692391
CR001,Proliferative Tumor,0.0041753653444676405,0,0.003131524008350731,0.1931106471816284,0,0.033402922755741124,0.13883089770354906,0.0010438413361169101,0.6189979123173278,0.007306889352818371
CR001,Stromal,0.02204531537048377,0.049601959583588484,0.015309246785058175,0.009797917942437232,0.02510716472749541,0.009185548071034905,0.002449479485609308,6.12369871402327e-4,0,0.8658909981628904
CR008,Bulk Tumor,0.007860121912094963,0.0038498556304138597,0.011389156239974335,0.7864934231632981,0.008822585819698428,0.030478023740776388,0.011389156239974335,6.416426050689766e-4,0.08934873275585499,0.04972730189284569
CR008,CD8+ T cell enriched,0.10666666666666667,0.23,0.4,0.03333333333333333,0.04,0.02,0.01,0.023333333333333334,0.0033333333333333335,0.13333333333333333
CR008,Immune-enriched stromal,0.05296100144439095,0.11169956668271545,0.0320173326913818,0.10014443909484834,0.07871930669234473,0.03346172363986519,0.006981222917669716,0.009388541165142032,0.029128550794415023,0.5454983148772268
CR008,Mixed Immune,0.052123552123552123,0.22393822393822393,0.03861003861003861,0.03957528957528957,0.38706563706563707,0.02895752895752896,0.007722007722007722,0.015444015444015444,0.003861003861003861,0.20270270270270271
CR008,NK-cell enriched,0.005813953488372093,0.0755813953488372,0.011627906976744186,0.11046511627906977,0.005813953488372093,0.5465116279069767,0.011627906976744186,0.005813953488372093,0.023255813953488372,0.20348837209302326
CR008,P53+ Tumor,0,0,0,0.25,0,0,0.25,0,0.5,0
CR008,Proliferative Tumor,0.007246376811594203,0.002835538752362949,0.006931316950220542,0.2882797731568998,0.006931316950220542,0.011657214870825458,0.008506616257088847,0.005040957781978576,0.5967233774417139,0.06584751102709514
CR008,Stromal,0.014631401238041642,0.04595760645282311,0.009754267492027763,0.010879759894954042,0.020634027386981803,0.005064715813168261,0.008253610954792722,0.0016882386043894203,5.627462014631402e-4,0.8825736259613581
CR014,Bulk Tumor,0.011273209549071617,0.008620689655172414,0.01856763925729443,0.7336427939876216,0.021883289124668436,0.03713527851458886,0.028735632183908046,0.002431476569407604,0.07117595048629531,0.0665340406719717
CR014,CD8+ T cell enriched,0.013719512195121951,0.08079268292682927,0.538109756097561,0.056402439024390245,0.06859756097560976,0.056402439024390245,0.003048780487804878,0.006097560975609756,0.019817073170731708,0.15701219512195122
CR014,Immune-enriched stromal,0.02928297755883963,0.059113300492610835,0.06321839080459771,0.13519430760810072,0.08210180623973727,0.04707170224411604,0.01176792556102901,0.013136288998357963,0.025451559934318555,0.5336617405582923
CR014,Mixed Immune,0.05012853470437018,0.09125964010282776,0.06298200514138817,0.060411311053984576,0.4241645244215938,0.05398457583547558,0.012853470437017995,0.010282776349614395,0.016709511568123392,0.21722365038560412
CR014,NK-cell enriched,0.014684287812041116,0.024963289280469897,0.027900146842878122,0.2011747430249633,0.027900146842878122,0.5051395007342144,0.022026431718061675,0.004405286343612335,0.07342143906020558,0.09838472834067548
CR014,P53+ Tumor,0.01818181818181818,0.01818181818181818,0,0.32727272727272727,0.01818181818181818,0.07272727272727272,0.34545454545454546,0,0.18181818181818182,0.01818181818181818
CR014,Proliferative Tumor,0.007707129094412331,0.004816955684007707,0.024084778420038536,0.27167630057803466,0.010597302504816955,0.0674373795761079,0.036608863198458574,0.00674373795761079,0.5221579961464354,0.04816955684007707
CR014,Stromal,0.020041465100207326,0.030753282653766412,0.029716655148583276,0.005874222529371113,0.03489979267449896,0.024187975120939877,0.0031098825155494126,0.0048375950241879755,0,0.8465791292328957
CR020,Bulk Tumor,0.0040766408479412965,0.009376273950264982,0.05421932327761924,0.695067264573991,0.005707297187117815,0.0411740725642071,0.011822258459029759,0.0028536485935589076,0.14920505503465145,0.026498165511618425
CR020,CD8+ T cell enriched,0.022099447513812154,0.2154696132596685,0.4167324388318863,0.06077348066298342,0.05919494869771113,0.04498816101026046,0.0055248618784530384,0.01578531965272297,0.027624309392265192,0.13180741910023677
CR020,Immune-enriched stromal,0.03235294117647059,0.16176470588235295,0.13529411764705881,0.050980392156862744,0.059803921568627454,0.03627450980392157,0.00196078431372549,0.014705882352941176,0.014705882352941176,0.492156862745098
CR020,Mixed Immune,0.03187250996015936,0.2729083665338645,0.10756972111553785,0.021912350597609563,0.28286852589641437,0.04183266932270916,0.00796812749003984,0.0398406374501992,0.00398406374501992,0.1892430278884462
CR020,NK-cell enriched,0.024390243902439025,0.08536585365853659,0.07317073170731707,0.15853658536585366,0.08536585365853659,0.43902439024390244,0.012195121951219513,0,0.024390243902439025,0.0975609756097561
CR020,P53+ Tumor,0,0,0,0.4444444444444444,0,0.1111111111111111,0.1111111111111111,0,0.2222222222222222,0.1111111111111111
CR020,Proliferative Tumor,0.0016155088852988692,0.016962843295638127,0.05331179321486268,0.35379644588045234,0.0016155088852988692,0.05411954765751212,0.014539579967689823,0.004038772213247173,0.4806138933764136,0.01938610662358643
CR020,Stromal,0.02,0.08666666666666667,0.02666666666666667,0,0.02666666666666667,0.02,0,0.02,0,0.8
CR023,Bulk Tumor,0.0017410572966128522,0.010762899651788541,0.009021842355175688,0.807534029756252,0.0034821145932257044,0.021209243431465654,0.01440329218106996,9.49667616334283e-4,0.096232985121874,0.03466286799620133
CR023,CD8+ T cell enriched,0.061507936507936505,0.16666666666666666,0.44047619047619047,0.03373015873015873,0.07539682539682539,0.02976190476190476,0.007936507936507936,0.011904761904761904,0.001984126984126984,0.17063492063492064
CR023,Immune-enriched stromal,0.036953136061163815,0.0935862947755911,0.06583604700552173,0.11128415687384964,0.08141016565198923,0.026900750389352968,0.018830525272547076,0.0025484921421492284,0.012459294917174006,0.5501911369106612
CR023,Mixed Immune,0.03802281368821293,0.17110266159695817,0.060836501901140684,0.060836501901140684,0.3754752851711027,0.04847908745247148,0.010456273764258554,0.0028517110266159697,0,0.23193916349809887
CR023,NK-cell enriched,0.02531645569620253,0.0379746835443038,0.0379746835443038,0.22784810126582278,0.08860759493670886,0.35443037974683544,0.02531645569620253,0,0.02531645569620253,0.17721518987341772
CR023,P53+ Tumor,0,0,0,0.42857142857142855,0,0,0.5714285714285714,0,0,0
CR023,Proliferative Tumor,0.005706134094151213,0.0042796005706134095,0.005706134094151213,0.3609129814550642,0,0.034236804564907276,0.018544935805991442,0.0028530670470756064,0.5492154065620543,0.018544935805991442
CR023,Stromal,0.019072810803285534,0.03132395934846165,0.017402199638034247,0.01614924126409578,0.027008213838229152,0.006195183071140192,0.00946679660309063,7.656967840735069e-4,6.960879855213699e-5,0.8725462898510372
CR027,Bulk Tumor,0.00101010101010101,0.0035353535353535356,0.022727272727272728,0.7090909090909091,0.00202020202020202,0.06666666666666667,0.09444444444444444,0.00101010101010101,0.07575757575757576,0.023737373737373738
CR027,CD8+ T cell enriched,0.011656952539550375,0.19317235636969193,0.42714404662781014,0.038301415487094086,0.059117402164862616,0.07243963363863447,0.05578684429641965,0.005828476269775187,0.02331390507910075,0.11323896752706078
CR027,Immune-enriched stromal,0.015011851461680274,0.1182512509876218,0.06399789307347906,0.06689491703976824,0.06584145377929945,0.09744535159336318,0.020805899394258625,0.01316829075585989,0.01553858309191467,0.5230445088227548
CR027,Mixed Immune,0.020261437908496733,0.25947712418300656,0.05620915032679739,0.028104575163398694,0.2856209150326797,0.10718954248366012,0.00849673202614379,0.025490196078431372,0.004575163398692811,0.2045751633986928
CR027,NK-cell enriched,0.006811632171862719,0.0335341891537857,0.03798794865077286,0.09405292114225831,0.0345821325648415,0.6583704479958082,0.019648938957296306,0.0026198585276395073,0.016505108724128897,0.09588682211160597
CR027,P53+ Tumor,6.108735491753207e-4,0.004479739360619018,0.0531459987782529,0.21299124414579515,0.003257992262268377,0.028914681327631846,0.5176135206678885,8.144980655670943e-4,0.16432498472816126,0.013846467114640602
